instituicao,cod_ibge,uf,populacao,indicador_1,Nota_1,indicador_2,Nota_2,indicador_3,nota_3,classificacao_capag
Prefeitura Municipal de Abadia de Goiás - GO,5200050,GO,8583,"12,80%",A,"90,63%",B,"96,24%",A,B
Prefeitura Municipal de Abadia dos Dourados - MG,3100104,MG,6972,"16,57%",A,"90,99%",B,"77,47%",A,B
Prefeitura Municipal de Abadiânia - GO,5200100,GO,19614,"15,46%",A,"95,92%",C,"183,24%",C,C
Prefeitura Municipal de Abaeté - MG,3100203,MG,23223,"31,02%",A,"90,15%",B,"13,43%",A,
Prefeitura Municipal de Abaetetuba - PA,1500107,PA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Abaiara - CE,2300101,CE,11663,"60,70%",B,"97,56%",C,,n.d.,n.d.
Prefeitura Municipal de Abaíra - BA,2900108,BA,8767,"58,59%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Abaré - BA,2900207,BA,19814,"75,72%",B,"99,80%",C,"2117,67%",C,C
Prefeitura Municipal de Abatiá - PR,4100103,PR,7507,"35,98%",A,"104,38%",C,"29,11%",A,C
Prefeitura Municipal de Abdon Batista - SC,4200051,SC,2577,"3,92%",A,"83,13%",A,"16,12%",A,A
Prefeitura Municipal de Abel Figueiredo - PA,1500131,PA,7382,,n.d.,"103,34%",C,,n.d.,n.d.
Prefeitura Municipal de Abelardo Luz - SC,4200101,SC,17847,"5,74%",A,"89,39%",A,"12,89%",A,A
Prefeitura Municipal de Abre Campo - MG,3100302,MG,13465,"0,02%",A,,n.d.,"1,31%",A,n.d.
Prefeitura Municipal de Abreu e Lima - PE,2600054,PE,99622,"12,94%",A,,n.d.,"319,29%",C,n.d.
Prefeitura Municipal de Abreulândia - TO,1700251,TO,2564,"6,77%",A,"96,09%",C,"280,46%",C,C
Prefeitura Municipal de Acaiaca - MG,3100401,MG,3994,"7,67%",A,"95,01%",C,,n.d.,n.d.
Prefeitura Municipal de Açailândia - MA,2100055,MA,111757,,n.d.,"95,00%",C,"78,86%",A,n.d.
Prefeitura Municipal de Acajutiba - BA,2900306,BA,15129,"32,14%",A,"97,36%",C,"3848,89%",C,C
Prefeitura Municipal de Acará - PA,1500206,PA,55513,"89,62%",B,"99,47%",C,,n.d.,n.d.
Prefeitura Municipal de Acarape - CE,2300150,CE,16639,"93,52%",B,"95,57%",C,,n.d.,n.d.
Prefeitura Municipal de Acaraú - CE,2300200,CE,62557,"6,68%",A,"92,68%",B,"175,14%",C,C
Prefeitura Municipal de Acari - RN,2400109,RN,11152,"50,43%",A,"94,43%",B,"42,76%",A,B
Prefeitura Municipal de Acauã - PI,2200053,PI,7065,,n.d.,"100,07%",C,"45,44%",A,n.d.
Prefeitura Municipal de Aceguá - RS,4300034,RS,4858,,n.d.,"94,30%",B,"8,38%",A,n.d.
Prefeitura Municipal de Acopiara - CE,2300309,CE,53931,"35,65%",A,"95,04%",C,,n.d.,n.d.
Prefeitura Municipal de Acorizal - MT,5100102,MT,5424,,n.d.,,n.d.,"98,81%",A,n.d.
Prefeitura Municipal de Acrelândia - AC,1200013,AC,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Acreúna - GO,5200134,GO,22182,"2,95%",A,,n.d.,"1220,37%",C,n.d.
Prefeitura Municipal de Açu - RN,2400208,RN,57644,"1,58%",A,,n.d.,"48,44%",A,n.d.
Prefeitura Municipal de Açucena - MG,3100500,MG,9575,"5,38%",A,"98,22%",C,"54,07%",A,C
Prefeitura Municipal de Adamantina - SP,3500105,SP,35023,"5,87%",A,"90,97%",B,"21,38%",A,B
Prefeitura Municipal de Adelândia - GO,5200159,GO,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Adolfo - SP,3500204,SP,3571,"0,88%",A,"97,36%",C,"142,28%",C,C
Prefeitura Municipal de Adrianópolis - PR,4100202,PR,5983,"6,28%",A,,n.d.,"-6,32%",C,n.d.
Prefeitura Municipal de Adustina - BA,2900355,BA,16784,"7,41%",A,"97,00%",C,"18,36%",A,C
Prefeitura Municipal de Afogados da Ingazeira - PE,2600104,PE,37111,"3,29%",A,"101,62%",C,"1000,07%",C,C
Prefeitura Municipal de Afonso Bezerra - RN,2400307,RN,11041,"22,65%",A,,n.d.,"231,04%",C,n.d.
Prefeitura Municipal de Afonso Cláudio - ES,3200102,ES,30720,"1,23%",A,"93,13%",B,"5,86%",A,B
Prefeitura Municipal de Afonso Cunha - MA,2100105,MA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Afrânio - PE,2600203,PE,19456,"17,20%",A,"94,61%",B,"153,51%",C,C
Prefeitura Municipal de Afuá - PA,1500305,PA,38863,"55,94%",A,"104,74%",C,"188,34%",C,C
Prefeitura Municipal de Agrestina - PE,2600302,PE,24702,"35,36%",A,"95,78%",C,"1382,25%",C,C
Prefeitura Municipal de Agricolândia - PI,2200103,PI,5148,"23,14%",A,,n.d.,"56,14%",A,n.d.
Prefeitura Municipal de Agrolândia - SC,4200200,SC,10711,"1,94%",A,"95,47%",C,"5,04%",A,C
Prefeitura Municipal de Agronômica - SC,4200309,SC,5385,"3,87%",A,"97,30%",C,"232,67%",C,C
Prefeitura Municipal de Água Azul do Norte - PA,1500347,PA,27241,"-2,27%",A,"91,75%",B,"287,51%",C,C
Prefeitura Municipal de Água Boa - MG,3100609,MG,13600,"8,15%",A,"95,52%",C,,n.d.,n.d.
Prefeitura Municipal de Água Boa - MT,5100201,MT,25229,"1,63%",A,"90,44%",B,"24,24%",A,B
Prefeitura Municipal de Água Branca - AL,2700102,AL,20162,"23,82%",A,,n.d.,"44,13%",A,n.d.
Prefeitura Municipal de Água Branca - PB,2500106,PB,10161,"19,66%",A,"98,49%",C,"97,51%",A,C
Prefeitura Municipal de Água Branca - PI,2200202,PI,17349,"18,49%",A,"94,18%",B,"101,41%",C,C
Prefeitura Municipal de Água Clara - MS,5000203,MS,15257,"1,30%",A,"92,30%",B,"86,38%",A,B
Prefeitura Municipal de Água Comprida - MG,3100708,MG,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Água Doce - SC,4200408,SC,7138,"5,49%",A,"91,46%",B,"5,92%",A,B
Prefeitura Municipal de Água Doce do Maranhão - MA,2100154,MA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Água Doce do Norte - ES,3200169,ES,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Água Fria - BA,2900405,BA,16901,"76,15%",B,"101,72%",C,,n.d.,n.d.
Prefeitura Municipal de Água Fria de Goiás - GO,5200175,GO,5676,"4,12%",A,"90,79%",B,"115,45%",C,C
Prefeitura Municipal de Água Limpa - GO,5200209,GO,1872,"0,61%",A,"98,17%",C,"125,55%",C,C
Prefeitura Municipal de Água Nova - RN,2400406,RN,3230,"16,17%",A,"94,62%",B,"18,06%",A,B
Prefeitura Municipal de Água Preta - PE,2600401,PE,36454,"42,53%",A,"94,86%",B,"-587,06%",C,C
Prefeitura Municipal de Água Santa - RS,4300059,RS,3753,"8,36%",A,"82,45%",A,"59,69%",A,A
Prefeitura Municipal de Aguaí - SP,3500303,SP,35954,"3,12%",A,"93,70%",B,"19,43%",A,B
Prefeitura Municipal de Aguanil - MG,3100807,MG,4448,"1,35%",A,,n.d.,"0,00%",n.d.,n.d.
Prefeitura Municipal de Águas Belas - PE,2600500,PE,43195,"37,29%",A,"96,67%",C,"2455,73%",C,C
Prefeitura Municipal de Águas da Prata - SP,3500402,SP,8137,"20,47%",A,"93,69%",B,"78,88%",A,B
Prefeitura Municipal de Águas de Chapecó - SC,4200507,SC,6455,"1,33%",A,"95,28%",C,"10,41%",A,C
Prefeitura Municipal de Águas de Lindóia - SP,3500501,SP,18599,"12,31%",A,"89,79%",A,"-266,02%",C,C
Prefeitura Municipal de Águas de Santa Bárbara - SP,3500550,SP,6040,"1,25%",A,"97,80%",C,"112,20%",C,C
Prefeitura Municipal de Águas de São Pedro - SP,3500600,SP,3380,"3,35%",A,"89,81%",A,"3,02%",A,A
Prefeitura Municipal de Águas Formosas - MG,3100906,MG,19166,"17,85%",A,"98,60%",C,"-40,57%",C,C
Prefeitura Municipal de Águas Frias - SC,4200556,SC,2378,"7,25%",A,"91,04%",B,"0,00%",n.d.,n.d.
Prefeitura Municipal de Águas Lindas de Goiás - GO,5200258,GO,207070,"36,20%",A,"88,44%",A,,n.d.,n.d.
Prefeitura Municipal de Águas Mornas - SC,4200606,SC,6378,,n.d.,"89,61%",A,"0,52%",A,n.d.
Prefeitura Municipal de Águas Vermelhas - MG,3101003,MG,13477,"24,99%",A,"101,36%",C,"1881,17%",C,C
Prefeitura Municipal de Agudo - RS,4300109,RS,16524,"3,22%",A,"81,15%",A,"3,51%",A,A
Prefeitura Municipal de Agudos - SP,3500709,SP,37023,"5,81%",A,"97,30%",C,"67,17%",A,C
Prefeitura Municipal de Agudos do Sul - PR,4100301,PR,9269,"6,05%",A,"96,15%",C,"1057,68%",C,C
Prefeitura Municipal de Águia Branca - ES,3200136,ES,9653,"0,08%",A,,n.d.,"90,31%",A,n.d.
Prefeitura Municipal de Aguiar - PB,2500205,PB,5571,"31,62%",A,"89,84%",A,"93,60%",A,A
Prefeitura Municipal de Aguiarnópolis - TO,1700301,TO,6572,,n.d.,"95,13%",C,"-26,08%",C,n.d.
Prefeitura Municipal de Aimorés - MG,3101102,MG,25193,"2,99%",A,"96,84%",C,"7,73%",A,C
Prefeitura Municipal de Aiquara - BA,2900603,BA,4478,"110,11%",B,"93,07%",B,"97,63%",A,B
Prefeitura Municipal de Aiuaba - CE,2300408,CE,17303,"36,82%",A,"92,59%",B,,n.d.,n.d.
Prefeitura Municipal de Aiuruoca - MG,3101201,MG,,,n.d.,"94,80%",B,"39,73%",A,n.d.
Prefeitura Municipal de Ajuricaba - RS,4300208,RS,7063,,n.d.,"90,46%",B,"36,06%",A,n.d.
Prefeitura Municipal de Alagoa - MG,3101300,MG,2683,"10,33%",A,"100,02%",C,"-0,67%",C,C
Prefeitura Municipal de Alagoa Grande - PB,2500304,PB,28623,,n.d.,"97,06%",C,"42,75%",A,n.d.
Prefeitura Municipal de Alagoa Nova - PB,2500403,PB,20589,,n.d.,"99,10%",C,"37,09%",A,n.d.
Prefeitura Municipal de Alagoinha - PB,2500502,PB,14367,"8,52%",A,"86,65%",A,"-13,49%",C,C
Prefeitura Municipal de Alagoinha - PE,2600609,PE,14554,"11,13%",A,"94,24%",B,"369,10%",C,C
Prefeitura Municipal de Alagoinha do Piauí - PI,2200251,PI,7636,,n.d.,,n.d.,"76,56%",A,n.d.
Prefeitura Municipal de Alagoinhas - BA,2900702,BA,150832,"31,01%",A,"93,70%",B,"76,29%",A,B
Prefeitura Municipal de Alambari - SP,3500758,SP,5918,"0,26%",A,"97,93%",C,"14,70%",A,C
Prefeitura Municipal de Albertina - MG,3101409,MG,3003,,n.d.,"84,25%",A,"0,58%",A,n.d.
Prefeitura Municipal de Alcântara - MA,2100204,MA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alcântaras - CE,2300507,CE,11529,"20,40%",A,"98,05%",C,,n.d.,n.d.
Prefeitura Municipal de Alcantil - PB,2500536,PB,5473,"8,03%",A,"96,71%",C,"133,78%",C,C
Prefeitura Municipal de Alcinópolis - MS,5000252,MS,5268,,n.d.,"87,17%",A,,n.d.,n.d.
Prefeitura Municipal de Alcobaça - BA,2900801,BA,22449,"19,82%",A,"76,96%",A,"1072,58%",C,C
Prefeitura Municipal de Aldeias Altas - MA,2100303,MA,26302,"16,52%",A,"88,70%",A,"370,19%",C,C
Prefeitura Municipal de Alecrim - RS,4300307,RS,6077,"1,22%",A,"97,66%",C,"18,98%",A,C
Prefeitura Municipal de Alegre - ES,3200201,ES,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alegrete - RS,4300406,RS,74173,"8,06%",A,"84,55%",A,,n.d.,n.d.
Prefeitura Municipal de Alegrete do Piauí - PI,2200277,PI,4912,,n.d.,,n.d.,"2897,36%",C,n.d.
Prefeitura Municipal de Alegria - RS,4300455,RS,3559,"0,60%",A,"85,01%",A,"14,79%",A,A
Prefeitura Municipal de Além Paraíba - MG,3101508,MG,35321,"1,21%",A,"88,94%",A,"76,47%",A,A
Prefeitura Municipal de Alenquer - PA,1500404,PA,56480,"3,38%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alexandria - RN,2400505,RN,13602,"5,69%",A,,n.d.,"13,45%",A,n.d.
Prefeitura Municipal de Alexânia - GO,5200308,GO,27288,"16,63%",A,,n.d.,"-155,93%",C,n.d.
Prefeitura Municipal de Alfenas - MG,3101607,MG,79481,"15,73%",A,,n.d.,"127,48%",C,n.d.
Prefeitura Municipal de Alfredo Chaves - ES,3200300,ES,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Alfredo Marcondes - SP,3500808,SP,4147,,n.d.,"98,14%",C,"20,06%",A,n.d.
Prefeitura Municipal de Alfredo Vasconcelos - MG,3101631,MG,6831,,n.d.,"92,92%",B,"51,36%",A,n.d.
Prefeitura Municipal de Alfredo Wagner - SC,4200705,SC,9984,"5,04%",A,,n.d.,"1,27%",A,n.d.
Prefeitura Municipal de Algodão de Jandaíra - PB,2500577,PB,2488,"5,56%",A,,n.d.,"183,13%",C,n.d.
Prefeitura Municipal de Alhandra - PB,2500601,PB,,,n.d.,,n.d.,"94,57%",A,n.d.
Prefeitura Municipal de Aliança - PE,2600708,PE,38375,"68,55%",B,"100,70%",C,"637,50%",C,C
Prefeitura Municipal de Aliança do Tocantins - TO,1700350,TO,5434,"8,99%",A,"93,89%",B,"35,09%",A,B
Prefeitura Municipal de Almadina - BA,2900900,BA,,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Almas - TO,1700400,TO,7131,"78,42%",B,,n.d.,"229,09%",C,n.d.
Prefeitura Municipal de Almeirim - PA,1500503,PA,34142,,n.d.,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Almenara - MG,3101706,MG,41642,"52,42%",A,"94,11%",B,,n.d.,n.d.
Prefeitura Municipal de Almino Afonso - RN,2400604,RN,4761,,n.d.,"94,57%",B,"26,47%",A,n.d.
Prefeitura Municipal de Almirante Tamandaré - PR,4100400,PR,117168,"47,39%",A,"84,12%",A,"47,25%",A,A
Prefeitura Municipal de Almirante Tamandaré do Sul - RS,4300471,RS,1979,"6,23%",A,"85,77%",A,"0,50%",A,A
Prefeitura Municipal de Aloândia - GO,5200506,GO,2005,"0,95%",A,"91,28%",B,"179,98%",C,C
Prefeitura Municipal de Alpercata - MG,3101805,MG,,,n.d.,"98,60%",C,"1462,56%",C,n.d.
Prefeitura Municipal de Alpestre - RS,4300505,RS,6458,,n.d.,"71,40%",A,,n.d.,n.d.
Prefeitura Municipal de Alpinópolis - MG,3101904,MG,19745,"2,63%",A,"93,44%",B,,n.d.,n.d.
Prefeitura Municipal de Alta Floresta - MT,5100250,MT,51615,"32,83%",A,"82,62%",A,,n.d.,n.d.
Prefeitura Municipal de Alta Floresta D'Oeste - RO,1100015,RO,23167,"3,38%",A,"91,18%",B,,n.d.,n.d.
Prefeitura Municipal de Altair - SP,3500907,SP,4134,"20,59%",A,"87,33%",A,"0,00%",n.d.,n.d.
Prefeitura Municipal de Altamira - PA,1500602,PA,113195,"0,01%",A,,n.d.,,n.d.,n.d.
Prefeitura Municipal de Altamira do Maranhão - MA,2100402,MA,8066,,n.d.,"148,49%",C,"114,75%",C,n.d.
Prefeitura Municipal de Altamira do Paraná - PR,4100459,PR,2209,"36,76%",A,"97,51%",C,"10,10%",A,C
Prefeitura Municipal de Altaneira - CE,2300606,CE,7521,"28,28%",A,"91,09%",B,,n.d.,n.d.
Prefeitura Municipal de Alterosa - MG,3102001,MG,14414,"1,37%",A,"94,15%",B,"0,77%",A,B
Prefeitura Municipal de Altinho - PE,2600807,PE,22959,"14,79%",A,"102,61%",C,"5076,44%",C,C
Prefeitura Municipal de Altinópolis - SP,3501004,SP,16164,"3,17%",A,"91,18%",B,"6,17%",A,B
Prefeitura Municipal de Alto Alegre - RR,1400050,RR,15638,,n.d.,"140,49%",C,"58,26%",A,n.d.
