cod_mun_ent,uf,nom_municipio_x,1.1,1.3,1.4,1.5,2.1.1,2.1.2,3.1,3.2.2,3.2.3,3.3,3.4,3.5,4.1,4.2,4.3,4.4,qtd_2018_x,Região,idhm,idhm_renda,soma_capag,media_indicadores,mediana_indicadores,sit_obr,sit_predita
520005.0,GO,Abadia de Goi�s,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,8583,CO,0.708,0.687,1.9967,0.6655666666666666,0.9063,1.0,1.0
310010.0,MG,Abadia dos Dourados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6972,SE,0.6890000000000001,0.693,1.8503,0.6167666666666666,0.7746999999999999,0.0,0.0
520010.0,GO,Abadi�nia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19614,CO,0.6890000000000001,0.6709999999999999,2.9462,0.9820666666666668,0.9592,0.0,0.0
310020.0,MG,Abaet�,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23223,SE,0.698,0.72,1.3459999999999999,0.4486666666666667,0.3102,0.0,0.0
150010.0,PA,Abaetetuba,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,156292,N,0.628,0.579,0.0,0.0,0.0,2.0,2.0
230010.0,CE,Abaiara,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11663,NE,0.628,0.54,1.5826,0.5275333333333333,0.607,1.0,1.0
290010.0,BA,Aba�ra,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8767,NE,0.603,0.5770000000000001,0.5859000000000001,0.19530000000000006,0.0,1.0,1.0
290020.0,BA,Abar�,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19814,NE,0.575,0.5329999999999999,22.9319,7.6439666666666675,0.998,1.0,1.0
410010.0,PR,Abati�,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,7507,S,0.687,0.6759999999999999,1.6947,0.5649,0.35979999999999995,1.0,1.0
420005.0,SC,Abdon Batista,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2577,S,0.6940000000000001,0.66,1.0316999999999998,0.34389999999999993,0.1612,0.0,0.0
150013.0,PA,Abel Figueiredo,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7382,N,0.622,0.625,1.0334,0.3444666666666667,0.0,1.0,1.0
420010.0,SC,Abelardo Luz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17847,S,0.696,0.684,1.0802,0.3600666666666667,0.1289,1.0,1.0
310030.0,MG,Abre Campo,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13465,SE,0.654,0.6459999999999999,0.0133,0.0044333333333333325,0.0002,1.0,1.0
260005.0,PE,Abreu e Lima,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99622,NE,0.679,0.625,3.3223000000000003,1.1074333333333335,0.1294,1.0,1.0
170025.0,TO,Abreul�ndia,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2564,N,0.665,0.7,3.8332,1.2777333333333332,0.9609,1.0,1.0
310040.0,MG,Acaiaca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3994,SE,0.63,0.61,1.0268000000000002,0.3422666666666667,0.0767,0.0,0.0
210005.0,MA,A�ail�ndia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111757,NE,0.672,0.643,1.7386,0.5795333333333333,0.7886,0.0,0.0
290030.0,BA,Acajutiba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,15129,NE,0.5820000000000001,0.56,39.7839,13.2613,0.9736,1.0,1.0
150020.0,PA,Acar�,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,55513,N,0.506,0.517,1.8909,0.6303,0.8962,1.0,1.0
230015.0,CE,Acarape,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16639,NE,0.606,0.5589999999999999,1.8909,0.6303,0.9352,1.0,1.0
230020.0,CE,Acara�,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62557,NE,0.601,0.5539999999999999,2.745,0.915,0.9268,1.0,1.0
240010.0,RN,Acari,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11152,NE,0.679,0.633,1.8762,0.6254,0.5043,1.0,1.0
